Content,Domain,Sentiment,Discrimination,,Channel
"🌟 CPA Qualification Programme 🌟

The CPA qualification programme aims to assess the highest levels of analysis, synthesis, commercial and ethical awareness, as well as the application of professional judgment.

📚 Four Stages of CPA Examinations: 📚

    Diploma in Accounting & Finance
    Advanced Diploma in Accounting & Finance
    Professional Level
    Strategic Level

🚀 Diploma and Advanced Diploma in Accounting and Finance: 🚀

Are you ready to take the leap towards a rewarding future in the world of accountancy and finance? Introducing the Diploma and Advanced Diploma in Accounting and Finance: Your Gateway to Success!

🎓 The Diploma and Advanced Diploma programmes in Accounting and Finance offered by CPA Sri Lanka are top-up degree pathways.

🏆 Both these courses are accredited by the Tertiary and Vocational Education Commission of Sri Lanka (TVEC Sri Lanka). The National Vocational Qualification (NVQ) framework is nationally and internationally recognized, allowing holders to enter the global job market as qualified professionals.

📜 The Diploma and Advanced Diploma meet the standards of the Sri Lanka Qualifications Framework Level (SLQF Level), equivalent to the first and second years of a Bachelor's Degree. This means students completing Diploma are eligible to join the second year of a degree program, and students completing Advanced Diploma are entitled to join the final year of a degree offered by any international university.

🌎 Global Passports Unlocked: 🌎

Armed with a Diploma Certificate at NVQ Level 5, aligned with the Sri Lanka Qualification Framework Level, you are now ready to step onto the international stage. Leading universities in the UK, USA, Canada, Australia, and New Zealand invite you to join their second-year Bachelor’s degree programs.

🌟 Achieving Excellence: 🌟

Upon completing the Advanced Diploma in Accounting and Finance (NVQ Level 6) at CPA Sri Lanka, the doors to the world's most prestigious universities are unlocked, offering entry into the third year of Bachelor's degree programs.

🌐 CPA Sri Lanka opens the doors to many exciting and rewarding possibilities. These qualifications pave the way to international mobility and high earning potential. It provides opportunities to study, learn, and work internationally. 🌐

#CPA #Accounting #Finance #Education #CareerOpportunities #GlobalEducation #SriLanka #HigherEducation #CPASriLanka #SuccessStories #NVQLevel5 #NVQLevel6 #CPAProgramme #InternationalMobility #StudyAbroad #ProfessionalDevelopment #GlobalCareers",None,Positive,Non Discriminative,,Social Media
"Muslim public sector officials are getting flexible shifts and more during Ramadan.
Here's what you need to know.

#PulseToday #SriLanka #SLNews #lka #RamadanSL #SLMuslims",Muslim,Positive,Non Discriminative,,Social Media
"The launch event for the USAID Caribbean Agricultural Productivity improvement Activity (CAPA), implemented by IESC, starts in 10 minutes! Watch the livestream here: https://zoom.us/j/94747636828 
U.S. Embassy Guyana",None,Positive,Non Discriminative,,Social Media
"The control and surveillance of women's bodies is a form of violence that exists in many societies, including Sri Lanka. Women's bodies are often controlled and surveilled in ways that violate their autonomy and dignity. We must work towards a society that values and respects women's bodily autonomy and empowers them to make their own choices.

#WomensRights #BodyAutonomy #GenderEquality #BreakTheSilence #SriLanka #Feminism #EndViolenceAgainstWomen #Patriarchy #EmpowerWomen #SpeakOut #pride #pridemonth #loveislove #queerrights #lgbtq #pridelk",Women,Positive,Non Discriminative,,Social Media
"Today, Her Royal Highness Princess Anne, The Princess Royal, visited resettled communities in Muhamulai, Kilinochchi supported through joint efforts by UNDP Sri Lanka, IOM Sri Lanka and Maldives and The HALO Trust via the 🇺🇳🇱🇰 SDG Fund.

The visit highlights impact of the Fund and collaborative efforts for improving living conditions for returnees, aiding sustainable resettlement and addressing ongoing challenges.

Learn more: https://bit.ly/48OtUOr",None,Positive,Non Discriminative,,Social Media
"The Institute of Certified Public Accountants of Sri Lanka (CPA Sri Lanka) is an independent national institute with global perspectives. It is a not-for-profit organization that reinvests its surplus income over expenditure to fulfil its mission of promoting the benefits of the art and science of accounting in relation to applied sciences, the arts, trades and professions, the administration of government and public services, industry, commerce, and public practice, and advancing education in this regard.

Members are provided with one of the best-known international accounting designations. As the CPA Sri Lanka qualification is based on international financial reporting and auditing standards, CPAs are well qualified to operate in any jurisdiction internationally and skilled in the dissemination of ideas and concepts. Members acquire the necessary skills and knowledge to keep pace with global developments and innovation.

CPA is the recognised title of qualified professional accountants in the majority of countries in the world and signifies the accounting profession’s highest standard of competence. It is a symbol of achievement and assurance of quality. CPA is the leading designation in the accountancy profession globally including USA, Canada, Australia, China, Japan, Ireland, New Zealand, throughout Middle East and many other countries in the world.

The CPA designation opens doors to many exciting and rewarding possibilities. It is a value-added qualification which commands higher pay in many parts of the world than any other professional accountancy qualifications. The CPA designation is highly sought after in the majority of countries that are popular among individuals intending to work or settle. Additionally, it is the preferred accountancy qualification for many international organizations, including the IMF, World Bank, UN, WHO, and more.

The Journey Begins NOW: Are you ready to embark on a journey that could change your life forever? Your dream career in Accounting and Finance awaits you, and the path is clearer than ever before.

Seize the moment: Don’t let this golden opportunity pass you by. Achieving your dreams is now well within your grasp, and the journey might be easier than you ever imagined.",None,Positive,Non Discriminative,,Social Media
"MSMEs, often on the frontline of unprecedented economic challenges, bear the brunt of crises as one of the hardest-hit sectors, typically facing the initial impact when crises arise. Despite being prone to shocks, MSMEs also act as a conduit for growth by generating employment opportunities for people of all skill levels. This symposium panel unpacks these challenges and explores ways to support this booming industry.",None,Positive,Non Discriminative,,Social Media
"""Ready to make a positive impact? We're hiring! Join the Centre for Environmental Justice as a Management Assistant. Send your resume and cover letter to cvejustice@gmail.com by FEB 5th, 2024. Be part of our team committed to environmental advocacy. 🌿 #JobOpportunity #EnvironmentalJustice""",None,Positive,Non Discriminative,,Social Media
"Today, Her Royal Highness Princess Anne, The Princess Royal The Royal Family on her official visit to #SriLanka 🇱🇰 met with resettled communities in Muhamulai, Kilinochchi who are supported through joint efforts of United Nations Sri Lanka led by United Nations Development Programme - UNDP #SriLanka and IOM Sri Lanka and Maldives, and The HALO Trust. 

Through the UN SriLanka SDG Fund & the Expanded Durable Resettlement and Reintegration of #SriLanka (EDRR) project funded by British High Commission Colombo, resettled families have been supported with improved living conditions, livelihoods, psycho-social support, econ infrastructure & other facilities, while ensuring greater food security and nutrition during the ongoing socio-economic crisis through the introduction of home gardening and climate-smart farming practices.

During her visit, the Royal Delegation was briefed of ongoing efforts in the Northern and Eastern Provinces of Sri Lanka by Mr. Mohamed Muzain, Programme Manager of the Integrated Governance Team of UNDP SriLanka on behalf of UN SriLanka, UNDP & IOM SriLanka, together with field colleagues.",None,Positive,Non Discriminative,,Social Media
"Learn How Female Entrepreneurs Can Secure Funds 💼 

Did you know that female-owned businesses have grown at a rate five times faster than the national average since 2007?

https://satynmag.com/business-financial-planning-towards-obtaining-financial-support-for-female-entrepreneurs/

#satynmag #womanentrepreneurs #entrepreneurship #satyn #financing #financialplanning #businessplanning #SriLanka #smallbiz",Women,Positive,Non Discriminative,,Social Media
"#OccupiedPalestinianTerritory

Front Line Defenders has observed an alarming trend of arrests of human rights defenders in the West Bank since October 7th '23. HRD Lawyer Diala Ayesh is one of the latest to be arrested without charge and has now been issued with 4 months administrative detention. 

We call for authorities to immediately release her and other detained HRDs. 

Read more: https://zurl.co/uefA",None,Positive,Non Discriminative,,Social Media
"Disaster Recovery Framework for the Irrigation Sector of Sri Lanka

Recent disaster damages and losses highlight the imperative need to plan and design infrastructure in Sri Lanka with disaster risk in mind. Current climate projections indicate a significant increase in climate-induced disasters (hydro-meteorological disasters), which could lead to an increase in future damages and losses. 

This publication by the United Nations Development Programme - UNDP #SriLanka, ADB Sri Lanka and the Government of #lka is intended to address some of the most significant challenges and gaps in disaster recovery in the irrigation sector, which is crucial to agricultural production and rural development in Sri Lanka.

Read the full document here: ",None,Positive,Non Discriminative,,Social Media
"Unpaid care work is both an economic and social issue.We must reduce the unpaid care workload on the individual - most often a woman. This is the change that's needed for women to gain better autonomy. Redistribute responsibility for care work through state programmes and community involvement.

#HouseWorkisWork 
#RecogniseUnpaidCareWork 
#ValueUnpaidCareWork",Women,Negative,Non Discriminative,,Social Media
"The USAID-funded Caribbean Agricultural Productivity improvement Activity (CAPA), implemented by IESC, is excited to host its official launch event in Georgetown, Guyana, on January 24, 2024, formally announcing CAPA to the region. CAPA focuses on enhancing food security in the Eastern and Southern Caribbean by increasing fruit and vegetable productivity, building the capacity of buyers and input suppliers to strengthen relationships with farmers, and improving farm-level extension systems. If you would like to view the event via livestream please use the following link to register: https://www.surveymonkey.com/r/83SDSD2",None,Negative,Non Discriminative,,Social Media
"In efforts to preserve Sri Lanka's cultural heritage, Heritance Hotels & Resorts collaborated with Galle Literary Festival held recently. 

This partnership took place in the form of a captivating discussion led by esteemed architects Channa Daswatte, Sunela Jayewardene, and Johann Peiris on preserving and re-narrating modern Sri Lankan cultural histories.

Take a look at the highlights!",None,Negative,Non Discriminative,,Social Media
"What do we need most to persevere and enable space for the protection of human rights? – The rule of law.

#humanrights75 #Act4RightsNow
#Equality
#SocialJustice
#NPC",None,Negative,Non Discriminative,,Social Media
"For over 60 years, Sri Lanka has been an integral part of the United Nations.

In 2024, let us renew that bond and work together to ensure peace, justice and sustainable development that leaves no one behind.",None,Negative,Non Discriminative,,Social Media
"At the meeting between members of the Tamil Diaspora group, the Global Tamil Forum and the president, he had assured the group of his support to their efforts to promote peacebuilding and reconciliation. This assurance would give reassurance to those who are like-minded that their work has the blessings of the country’s highest political authority. However, there is no getting away from the need for the political leadership to put its shoulder to the wheel rather than leave it to others to perform the Sisyphean task of pushing the boulder up the mountain. The government needs to give the political leadership to set up the institutions of state power and construct methods of ensuring justice which are embedded in the law.

For the past three years the Tamil farmers and herdsmen in Batticaloa have been complaining that the grazing land on which their cattle find fodder are being taken over for cultivating corn by Sinhala settlers. It is said that the grazing land was allocated by the government in a cabinet decision in 2011. However, since 2020, Sinhala settlers from Polonnaruwa have been annexing the pasture for corn cultivation. The conflicting permissions have caused tensions. Former Vice Chancellor of Eastern University, Prof Thangamuthu Jayasingam who now practices a lawyer for the Tamil farmers has confirmed that more than 80 cattle have been stolen, slaughtered or electrocuted on the ground since the visit of the president to Batticaloa two months ago. The total loss is said to be around 160 cattle. He has stated that “This unjust situation runs amidst and despite the establishment of two police posts, around October 7, 2023, just before the visit by the Honorable President to Batticaloa, and his declaration on 8th October 2023, to provide justice to these people at Chenkaladi.”

A similar unsettled situation on the ground exists in the north as well where the president ordered an end to the takeover of land on the basis that ancient Buddhist archaeological remains have been discovered in various places. When the words of the President, the highest executive, are not met with deeds on the ground the people will invariably lose faith in the system. Further when the orders of the court of law also are not implemented, and the police fail to act, they lose faith entirely. It is in such situations that violence emerges. Words need to be followed by deeds, or the spirit of goodwill and reconciliation that is in the air will not bring a solution to the problems on Ground Zero. The gazetting of the grazing areas by a presidential directive as per the 2011 cabinet paper may be a start to reconcile.

",Tamil,Positive,Non Discriminative,,Social Media
"Ever wondered how anxiety sneaks into relationships? 🤔

#anxiety #relationshipadvice #relationshiptips #anxietyawareness #satynmag #SriLanka #tipsandtricks #fypシ゚viralシ",None,Positive,Non Discriminative,,Social Media
"IESC is excited to announce the launch of a new three-year, $3 million USAID-funded project in Tanzania. The USAID Agri-Finance Project will improve access to finance for smallholders, women, youth, and micro, small, and medium (including large) enterprises (MSMiLs) in Tanzania by improving the agri-finance ecosystem and strengthening the capacity of borrowers and lenders. This initiative will create a more inclusive agricultural finance ecosystem, enable expanded and sustained lending and investment, and increase productivity and incomes. Read more about this exciting new project here: ",None,Positive,Non Discriminative,,Social Media
"We are hiring! 

Pulse is on the lookout for an Account Manager who can drive revenue growth for Pulse by generating new leads and sales opportunities.   

Think you’ll make the perfect fit? Send us your CV (with 2 references) to shout@pulse.lk!

Job Description:
- Actively seeking out new sales opportunities and generating new leads for Pulse
- Maintaining an up-to-date database of clients and their budgets, and following up on pending payments
- Researching clients, competitors and industry trends on a regular basis
- Streamlining communication between the client and the Pulse team from ideation till project completion
- Building and maintaining a sales pipeline with a high conversion rate
- Developing and implementing effective account plans to retain existing customers

Requirement: 
- Minimum 3 years of experience in a similar capacity
- A bachelor’s degree in Business Administration and/or Marketing (or equivalent qualification)
- Excellent PR and communication skills
- Excellent command of English 
- Proficiency in Sinhala and/or Tamil will be an added advantage 
- Creativity in ideating concepts
- Ability to multitask and meet monthly sales targets
- Ability to work independently and proactively in a fast-paced environment 

We are an equal opportunity employer.
All eligible applicants will receive equal consideration for employment. 
Females are encouraged to apply.
-
-
-
#pulse #pulselk #jobvacancy #careers #sales #colombo #srilanka #manager #accountmanager",None,Positive,Non Discriminative,,Social Media
"📍  #OccupiedPalestinianTerritory 

Front Line Defenders joins human rights defenders around the world today in welcoming an important step to protect human rights through the International Court of Justice ruling, ordering Israel to prevent acts of genocide against Palestinians in Gaza. 

We reiterate our call for an immediate and lasting ceasefire in Gaza.

Read the full ruling here: https://zurl.co/ryD4?utm_source=facebook&utm_medium=Zoho+Social",None,Positive,Non Discriminative,,Social Media
"“It is not a path, 
it is an ongoing quest that requires each of us to be torch-bearers of change.”
How do you see yourself contributing?

#humanrights75 #Act4RightsNow
#Equality
#SocialJustice
#NPC",None,Positive,Non Discriminative,,Social Media
"11 journalists and human rights defenders, current and former reporters of Temirov Live, have been sent to pretrial detention until 13 March 2024 for suspicion in ""calling for mass civil unrest"" , found in the publications of Temirov Live and Ayt Ayt Dese. Two HRDs could face up to 10 years while the rest up to 8 years in prison. Earlier, their offices and homes were raided, and their equipment confiscated. Police also sealed their offices. 

Temirov Live is a YouTube-based media outlet that investigates and reports on corruption of state and non-state actors in Kyrgyzstan. Ayt Ayt Dese is a YouTube project affiliated with Temirov Live, uses folk songs to raise awareness about human rights issues.  

Front Line Defenders condemns the attack on the human rights defenders and journalists.  Front Line Defenders urges Kyrgyzstan’s authorities to release the unjustly detained journalists, and to end the targetting of human rights defenders and independent journalists for their human rights work in Kyrgyzstan. 

Read more: https://www.frontlinedefenders.org/en/case/11-temirov-live-members-sent-pretrial-detention-two-months
#Kyrgyzstan",None,Positive,Non Discriminative,,Social Media
"Over three days across November and December of 2023, groups of U.S.-based IESC team members, including President and CEO David Hartingh, enthusiastically volunteered with Junior Achievement (JA) Greater Washington's 3DE program at Surrattsville High School in Clinton, Maryland. This collaborative initiative with JA was spearheaded by IESC’s Diversity, Equity, Inclusivity, and Accessibility (DEIA) committee. 

The 3DE program transforms high school education into a dynamic, competency-based experience, fostering critical thinking and project-based learning by connecting students to real-life opportunities. The spirit of this program aligns with IESC DEIA initiatives by empowering diverse communities and imparting skills for success in the private sector. IESC volunteers provided support in two ways: 1. Volunteer business coaches helped teams of sophomore-year students think through real-world business cases by listening to and refining solution ideas, planning presentation content, and providing tips to enhance delivery skills; and 2. Volunteer business coaches observed the best presentations, critically evaluated solutions, offered constructive feedback, and selected the winning team. 

This initiative not only embodies IESC's commitment to community well-being through workforce development and growth but also contributes to inclusivity in education. IESC anticipates more opportunities to contribute to the DC-Maryland-Virginia community in 2024.",None,Positive,Non Discriminative,,Social Media
"Few memorable moments from the Award Ceremony for the Participants of the Certificate Course on Comprehensive Election Monitoring which was held on 23rd of October 2023 at Sri Lanka Foundation Institute.

Certificate Course  was held from April to October 2023  for a period of over 7 months and about 200 participants were presented with their certificates for successfully completing the course, as well as for their various other achievements, including social media skills and advocacy. 

#CMEV2023 #CMEV

Please follow the below link of CPA official page for the album (Full album to follow ) - https://www.facebook.com/CPASL/posts/pfbid0ackbi1CDmcbF8A5ZdF4MUjHuXe3hwbqeySWgGFmkg4nfmUZPr5szAnSKtcxDdChwl",None,Positive,Non Discriminative,,Social Media
"Social Activist and  CMEV Communication & Media Coordinator Anuruddha Bandara's RTI request for information about the Online Safety Bill has led to controversy over the legal committee that drafted the Bill.

#WithdrawOnlineBillLk #OSB
#CMEV #Elections #Democracy #NoATA #RepealPTA #WithdrawaOnlineBillLK #WithdrawOSB #NoShutupLaws",None,Positive,Non Discriminative,,Social Media
"Thanks to support from The USAID Industry-led Skills Development Program in Georgia, the new Cyber Security Training Center established at Kutaisi International University (KIU) offers high-quality and in-demand vocational training courses, enabling KIU to become a leading training provider in the cyber security field. KIU and its partners are actively addressing the skills gap and increased market demand for cyber security in Georgia. Together, they’ve developed an efficient transition model from education to the cyber security labor market, aiming to engage at least 400 participants. To date, 118 participants have completed cyber security courses. Additionally, KIU has become an academic partner of the US-based EC-Council, the world’s largest cyber security technical certification body, ensuring international certification of the trainees.  #CyberSecurity #SkillsDevelopment #IESCImpact",None,Positive,Non Discriminative,,Social Media
"Reuse is a system that helps cut the waste generated and a true solution to prevent plastic pollution. Let’s shift our behaviors and cultures to embrace and enjoy reuse...

#ZeroWasteMonth #ChooseReuse #refusesingleuse

Global Alliance for Incinerator Alternatives (GAIA)",None,Positive,Non Discriminative,,Social Media
"Empowering Tomorrow's Leaders with Road Safety: SLMA's Expert Committee on PRTC joins forces with Colombo Traffic Headquarters, RMV, SLTB, and SLIC for a Road Safety Program at Royal College Colombo, held on October 10, 2023. 

We're ensuring the roadworthiness of School Vans & Buses while enlightening students from Royal, Ananda, and DS Senanayake College with vital safety awareness.

#SLMARoadSafety #ProtectingOurYouth",None,Positive,Non Discriminative,,Social Media
"The Economy is sustained by millions engaged in unpaid care work. But the work is not equally shared - or equally valued. This limits the ability of girls and women to gain a good education or a well-paid job. They have little time to engage in politics and influence decision-making on matters that concern them. Recognize and value unpaid care work through well-resourced public services and social protection policies. Promote shared responsibilities within households and families.

#HouseWorkisWork  #RecogniseUnpaidCareWork #ValueUnpaidCareWork",None,Positive,Non Discriminative,,Social Media
"As we kick off 2024, USAID’s youth employment and entrepreneurship program, YouLead, implemented by IESC, reflects on our community impact throughout Sri Lanka. Our sincere gratitude goes out to our donors, partners, and collaborators who supported these efforts. See our newly published Impact Bulletin for the latest updates on YouLead’s award-winning career guidance campaign, success in delivering occupational and career guidance services, entrepreneurship training for CSOs supporting migrant workers, health and safety training for tourism enterprises, and business growth support for young entrepreneurs. https://bit.ly/3NTkA3S",None,Positive,Non Discriminative,,Social Media
"2023 has been an year of challenges but also an year for opportunities.

As we step into the new year, we at United Nations Development Programme - UNDP Sri Lanka renew our dedication to building a future where no one is left behind.",None,Positive,Non Discriminative,,Social Media
"The UN Sustainable Development Cooperation Framework is the most important tool driving joint planning for sustainable development at the country level.

Last week, the high-level Joint Steering Committee reviewed progress against the Framework and discussed alignment with national development priorities. The meeting also served to present, for the first time, an overview of the new Joint Work Plan of the UN Country Team.

UN Resident Coordinator Marc-André Franche assured continued support for #SriLanka’s reform programme to help sustain an inclusive and green-led economic recovery process. He emphasized the need to invest more in mitigating multi-dimensional impact of current challenges for the country’s most vulnerable.",None,Positive,Non Discriminative,,Social Media
"Sri Lanka is ready to spend LKR 16 billion for primary school students' lunches.
Here's what you need to know.

#PulseToday #SriLanka #SLNews #lka #EducationSL",None,Positive,Non Discriminative,,Social Media
"Atekeh Rajabi, a woman human rights defender and former primary school teacher, was released from prison two days ago after having served two months of a six-month prison sentence on trumped up charges against her as retaliation for her human rights work in Iran. 

Since the September 2022 protests in Iran, she has been vocal about teachers’ rights, prisoners’ rights and violence against young protestors, especially the poisoning of school girls in Iran.

She had been sentenced by Branch 7 of Mashhad Revolutionary Court for “propaganda activities against the state” in a sentence upheld by Branch 35 of Khorasan Court of Appeals, which chose to implement the first two months and to suspend the remaining four months for a period of five years, on condition that Rajabi does not commit a criminal act during this period.

We urge the Iranian authorities to cease targeting defenders and guarantee their human rights without fear of reprisal and free of all restrictions, including judicial harassment.

Read more: https://www.frontlinedefenders.org/en/case/atekeh-rajabi-released-prison
#Iran",Women,Positive,Non Discriminative,,Social Media
"The Universal Declaration of Human Rights presents a ""common standard of achievement for all peoples and all nations"" and is a bedrock of the #2030Agenda.

Its 75th anniversary provides a moment to reflect, renew commitment to #HumanRights and act together to meet today’s challenges.

#HumanRights75",None,Positive,Non Discriminative,,Social Media
"Run For Their Lives, organised by the Rotaract Club of Colombo Uptown is back for the 11th consecutive year!

The five kilometre race in support for the Apeksha Cancer Hospital will happen on 25 February at the Colombo Racecourse.

Lace your running shoes up and register online now!",None,Positive,Non Discriminative,,Social Media
"🌿🌍Hajrija Čobo,  environmental woman rights defender from Bosnia and Herzegovina, is facing a defamation lawsuit filed by a British mining company. In her fight to protect forests and rivers threatened by the company's ore exploration, she has been accused of spreading false information, facing demands for compensation.

An elementary and secondary school teacher by profession, Hajrija Čobo fights against corruption and the destruction of the environment as a representative of NGG Park prirode Trstionica i Boriva, an informal grassroots group of local activists. The defamation lawsuit directly targets her for speaking out against the mining company's activities. She has spoken out about water contamination, health problems posed by the polluted water, deforestation, habitat loss and unethical conduct. Despite receiving threats and attempts to silence her, Hajrija has kept carrying her peaceful defense of human rights.

📢Front Line Defenders calls on the Adriatic Metals BH d.o.o to cease their targeting of Hajrija, and immediately withdraw the lawsuit. We urge the authorities to dismiss the court proceedings, ensuring a safe environment for all human rights defenders.

Read more:
https://www.frontlinedefenders.org/en/case/woman-environmental-rights-defender-hajrija-cobo-facing-defamation-lawsuit
#BosniaHerzegovina",None,Positive,Non Discriminative,,Social Media
"The grand finale week of season four of Mrs India, an esteemed pageant that celebrates the essence of womanhood, took place in Sri Lanka. 

Marking the first time Mrs. India Inc has taken the international stage!

Take a look at who attended the red carpet event on 19 July last year at the Nelum Pokuna Theatre, Colombo on the latest issue of the Pulse Magazine now available on PickMe Market - https://a.pickme.lk/R4xu3nj8UFb

The Pulse Magazine is also available at Celeste Daily, Urban Island, The BAREFOOT Bookshop, Poru Flore (OGF), and Luxe Colombo (Flower Road).",Women,Positive,Non Discriminative,,Social Media
"On 15 January, 2023 Nobel Peace Prize laureate, Narges Mohammadi, was sentenced by Branch 26 of the Tehran Revolutionary Court to an extra fifteen-months in prison for “propaganda activities against the state” because of her human rights activities while incarcerated at Evin prison. 

The verdict (which was issued in her absence during a trial on 19 December 2023 and communicated to her two days ago) also imposes a two-year ban on residing in Tehran province, a two-year travel ban, a two-year prohibition on membership in social-political groups, and a two-year restriction on using a smartphone. These charges are the latest addition to a total of five convictions that she has faced since March 2021, which amount to over a decade in prison and 154 lashes, among other reprisals.

Front Line Defenders strongly condemns the continuous sentencing of Iranian WHRD Narges Mohammadi, who has long been unjustly imprisoned for her peaceful work in defense of justice and freedom for women in Iran. She has been arrested a total of 13 times, and her sentences amount to more than 30 years in prison and 154 lashes.  We urge Iranian authorities to quash the convictions and release her, as well as respect the basic rights of detained WHRDs in Iran. 

Read more:
https://www.frontlinedefenders.org/en/case/narges-mohammadi-sentenced-extra-15-months-prison
#FreeNargesMohammadi #Iran",None,Positive,Non Discriminative,,Social Media
"IESC’s USDA Food for Progress-funded Agricultural Trade and Climate Smart Innovations (ATraCSI) team is developing an ICT solution for pest detection and identification in Guatemala and Honduras, with the support of Dr. Cristian Cruz, a specialist from IESC’s implementing partner, Purdue University. Dr. Cruz visited both countries to observe current practices for visual pest and disease identification and define possible objectives for the application, which will identify specific pests in real-time. The innovation aims to remove uncertainty and reduce time delays by utilizing verifiable data.",None,Positive,Non Discriminative,,Social Media
"IMMEDIATE HIRING!

Environment Officer

We are looking for a dynamic individual who is passionate about environmental protection, to join our team. 

If you are interested please send your CV and Cover Letter to cvejustice@gmail.com on or before 28th of January 2024.",None,Positive,Non Discriminative,,Social Media
"Defending Liberties, Not Sacrificing Them..!

As the Anti-Terrorism Bill hits Parliament again, let's remind ourselves why we stand united against it. Our commitment to justice, human rights, and civil liberties remains unwavering. 

Watch LST Roundtable Episode 01 for more details.
Link : https://shorturl.at/fhFOP

#SayNoToAntiTerrorismBill #DefendOurRights #RepealPTA #NotoATA #ProtectDemocracy #SriLanka #AntiTerrorismAct",None,Positive,Non Discriminative,,Social Media
"🎉Today, Amnesty International, the Center for Reproductive Rights, Women’s Link Worldwide, and Front Line Defenders celebrate the acquittal of Vanessa Mendoza Cortés, President of Stop Violence (Stop Violències), in Andorra. Facing unjust charges for voicing concerns about women's human rights and the total abortion ban, Vanessa has endured a three-year-long legal battle, impacting her vital work defending human rights.

🌐 This landmark decision upholds Vanessa's freedom of expression and affirms the legitimacy of the efforts of all those defending women's rights, sexual and reproductive rights. While acknowledging this victory, we stand firm in demanding the Andorran authorities recognize the legitimacy of human rights work to ensure Vanessa and other defenders can advocate for safe and legal abortion without intimidation or fear of reprisals.

We urge the Andorran authorities to stop using defamation laws with the purpose of inhibiting criticism of public officials, to align with international human rights standards, and to ensure access to safe and legal abortion in Andorra, the only country in Europe with a total ban on abortion.

Read more:
https://www.frontlinedefenders.org/en/statement-report/amnesty-international-center-reproductive-rights-womens-link-and-front-line",Women,Positive,Non Discriminative,,Social Media
"IESC’s USDA Food for Progress-funded Market-Oriented Dairy (MOD) Project in Sri Lanka supported the Smallholder Agribusiness Partnerships Programme-SAPP, funded by the International Fund for Agricultural Development (IFAD), in developing a funding mechanism for the dairy sector. The funding will  help processing companies develop proposals to assist their dairy farmers in accessing finance and introducing mechanization to agriculture practices. Thanks to MOD’s extensive network and influence, SAPP has extended its impact to support commercial fodder cultivators in establishing and improving cultivation, an emerging segment in the market. To date, 1,695 loans valuing approximately $1 million and investments of nearly $2 million have been leveraged for MOD beneficiaries through the SAPP program.",None,Positive,Non Discriminative,,Social Media
"To commemorate International Zero Waste Month, we are planning to aware general public on minimizing #plasticpollution by distributing leaflets and showing short awareness video clips using our mobile awareness unit.

Please spread the message and join us on 16th and 17th January.

#ZeroWasteMonth #refusesingleuse #ChooseReuse

Global Alliance for Incinerator Alternatives (GAIA)",None,Positive,Non Discriminative,,Social Media
"The final article of the #UDHR states that human rights are inalienable.

This means that the principles enshrined in the UDHR are fundamental rights and freedoms of every individual. Each of these rights are interconnected, equally important and cannot be exercised in isolation.

#HumanRightsDay
#HumanRights75 

---

අයිතිවාසිකම් අහිමි කළ නොහැකි ය.

අන්තර්ජාතික මානව අයිතිවාසිකම් ප්‍රකාශයේ හි දක්වා ඇති අයිතිවාසිකම් විනාශ කිරීමට කිසිවකු, ආයතනයක් හෝ පුද්ගලයෙක් හෝ ක්‍රියා නොකළ යුතුය.

---

உரிமைகள் பறித்தெடுக்கப்பட முடியாதவை.

நிறுவனம் அல்லது தனிநபர் என எந்த ஒருவரும் UDHR வலியுறுத்தும் உரிமைகளை அழிக்கும் வகையிலான செயற்பாடுகளில் ஈடுபட முடியாது.",None,Positive,Non Discriminative,,Social Media
"Cheers to another year of success and new beginnings! 🎉✨ Welcoming 2024 with open arms and unforgettable celebrations. Let the journey continue for a better future..! 

 #NewYearSuccess #MemorableMoments #lawandsocietytrust #newyear #2024 #srilanka #lk",None,Positive,Non Discriminative,,Social Media
"D.M. Thilakawathi, a 55-year-old resident of Maradankadawala, Pallekagama in Kekirawa area who embodies the true spirit of resilience. Born without the left arm, Thilakawathi faced numerous challenges throughout her life. Thanks to Rajarata Praja Kendraya (RPK) she was provided with a transformative opportunity...
http://slcdf.org/slcdf/viewstorie.jsp?storyid=142",None,Positive,Non Discriminative,,Social Media
"Tune in tomorrow at 11:00 am on Shakthi FM  kondattam program and listen to us about how the initiative HER Sri Lanka was created and what inspired us to become the change-makers. 
Here is a small part of my last week's interview on gender equality and women rights.",Women,Positive,Non Discriminative,,Social Media
"Happy International Women's Day 2022: a day to raise awareness about women's equality & celebrate the social, economic, cultural, and political achievements of women. #InternationalWomensDay #BreakTheBias",Women,Positive,Non Discriminative,,Social Media
"Today's #HumanRightsDay marks 75 years since the adoption of the Universal Declaration of Human Rights.

The Declaration calls upon everybody to #StandUp4HumanRights.

We all have a role to play. 

#HumanRights75",None,Positive,Non Discriminative,,Social Media
"Tharanga Priyadarshani like other women in her fishing community faced the problems of poverty and marginalization. Her husband is a laborer earning daily wages that is insufficient to...
http://slcdf.org/slcdf/viewstorie.jsp?storyid=140",Women,Negative,Non Discriminative,,Social Media
"Dr. Sakunthala Kdirgamar engages in an insightful dialogue with Newsfirst and TV1, delving into the current state of our nation, and reflecting on past decisions the government and the people have been made. Watch this enlightening discussion as we navigate the path forward together.

#lawandsocietytrust #talkshow #Newsfirst #tvOneNews #discussion #SriLanka #srilankalife #EconomicCrisisLK #LK",None,Negative,Non Discriminative,,Social Media
